Type1, Node1, Type2, Node2, Edgetype, X1, X2
operate, SLOAD, operate, SSTORE, inner, 0x0, 0x84
operate, SSTORE, addr, 0x5e7c5704e3d77d9f737940fefaac9bcae400b769, inner, 0x84, 1
addr, 0xf9a001d5b2c7c5e45693b41fcf931b94e680cac4, addr, 0x5e7c5704e3d77d9f737940fefaac9bcae400b769, CALL, 1, 2
addr, 0x5e7c5704e3d77d9f737940fefaac9bcae400b769, func, swap(address,bool,int256,uint160,bytes), inner, 1, 5
func, swap(address,bool,int256,uint160,bytes), operate, SLOAD, inner, 5, 0x100000100010000fdad6300000000000000000020732eab3bcc5d63a84600
operate, SLOAD, operate, SLOAD, inner, 0x100000100010000fdad6300000000000000000020732eab3bcc5d63a84600, 0x100000100010000fdad6300000000000000000020732eab3bcc5d63a84600
operate, SLOAD, operate, SSTORE, inner, 0x100000100010000fdad6300000000000000000020732eab3bcc5d63a84600, 0x100010000fdad6300000000000000000020732eab3bcc5d63a84600
operate, SSTORE, operate, SLOAD, inner, 0x100010000fdad6300000000000000000020732eab3bcc5d63a84600, 0x2788f4edaaf87b13e8a
operate, SLOAD, operate, SLOAD, inner, 0x2788f4edaaf87b13e8a, 0xec99e7bd748d7dd724e235f4375bd
operate, SLOAD, operate, SLOAD, inner, 0xec99e7bd748d7dd724e235f4375bd, 0x8040048002000400600000
operate, SLOAD, operate, SLOAD, inner, 0x8040048002000400600000, 0x10000000000000000000000f46943de3fe3cd2563fffff19adc4ad464943603
operate, SLOAD, operate, SLOAD, inner, 0x10000000000000000000000f46943de3fe3cd2563fffff19adc4ad464943603, 0x100010000fdad6300000000000000000020732eab3bcc5d63a84600
operate, SLOAD, operate, SSTORE, inner, 0x100010000fdad6300000000000000000020732eab3bcc5d63a84600, 0x100010000fdaf94000000000000000000215f8a7af20367d1cbbe30
operate, SSTORE, operate, SSTORE, inner, 0x100010000fdaf94000000000000000000215f8a7af20367d1cbbe30, 0xecc01ac7c08c0b2e62398e974266b
operate, SSTORE, addr, 0x0e9cc0f7e550bd43bd2af2214563c47699f96479, inner, 0xecc01ac7c08c0b2e62398e974266b, 2
addr, 0x5e7c5704e3d77d9f737940fefaac9bcae400b769, addr, 0x0e9cc0f7e550bd43bd2af2214563c47699f96479, CALL, 2, 3
addr, 0x0e9cc0f7e550bd43bd2af2214563c47699f96479, func, transfer(address,uint256), inner, 2, 2
func, transfer(address,uint256), operate, SLOAD, inner, 2, 0x0
operate, SLOAD, operate, SLOAD, inner, 0x0, 0x0
operate, SLOAD, operate, SLOAD, inner, 0x0, 0xf64e49c1d1d2b1cfa570b1da6481dc8dc95cd093
operate, SLOAD, operate, SLOAD, inner, 0xf64e49c1d1d2b1cfa570b1da6481dc8dc95cd093, 0x0
operate, SLOAD, operate, SLOAD, inner, 0x0, 0x14b3dc23ca04f4bebbeb3d
operate, SLOAD, operate, SSTORE, inner, 0x14b3dc23ca04f4bebbeb3d, 0x1429cd4f70a5c2f10ed86d
operate, SSTORE, operate, SLOAD, inner, 0x1429cd4f70a5c2f10ed86d, 0x29363fb36ba3e42deefd13c
operate, SLOAD, operate, SSTORE, inner, 0x29363fb36ba3e42deefd13c, 0x293ee0a0b139d74ac9ce40c
operate, SSTORE, event, log, inner, 0x293ee0a0b139d74ac9ce40c, LOG3
event, LOG3, addr, 0x0e9cc0f7e550bd43bd2af2214563c47699f96479, innerEventToReturn, LOG3, 2
addr, 0x5e7c5704e3d77d9f737940fefaac9bcae400b769, addr, 0xf9a001d5b2c7c5e45693b41fcf931b94e680cac4, RETURN, 3, 2
addr, 0x5e7c5704e3d77d9f737940fefaac9bcae400b769, addr, 0xc02aaa39b223fe8d0a0e5c4f27ead9083c756cc2, STATICCALL, 2, 3
addr, 0xc02aaa39b223fe8d0a0e5c4f27ead9083c756cc2, func, balanceOf(address), inner, 2, 1
func, balanceOf(address), operate, SLOAD, inner, 1, 0x15f22a72083b93be
operate, SLOAD, addr, 0xc02aaa39b223fe8d0a0e5c4f27ead9083c756cc2, innerOperateToReturn, 0x15f22a72083b93be, 2
addr, 0x0e9cc0f7e550bd43bd2af2214563c47699f96479, addr, 0x5e7c5704e3d77d9f737940fefaac9bcae400b769, RETURN, 3, 2
addr, 0x5e7c5704e3d77d9f737940fefaac9bcae400b769, addr, 0xf9a001d5b2c7c5e45693b41fcf931b94e680cac4, CALL, 2, 3
addr, 0xf9a001d5b2c7c5e45693b41fcf931b94e680cac4, func, uniswapV3SwapCallback(int256,int256,bytes), inner, 2, 3
func, uniswapV3SwapCallback(int256,int256,bytes), operate, SLOAD, inner, 3, 0x0
operate, SLOAD, operate, SLOAD, inner, 0x0, 0x84
operate, SLOAD, addr, 0xf64e49c1d1d2b1cfa570b1da6481dc8dc95cd093, inner, 0x84, 3
addr, 0xf9a001d5b2c7c5e45693b41fcf931b94e680cac4, addr, 0xf64e49c1d1d2b1cfa570b1da6481dc8dc95cd093, CALL, 3, 4
addr, 0xf64e49c1d1d2b1cfa570b1da6481dc8dc95cd093, func, swap(uint256,uint256,address,bytes), inner, 3, 4
func, swap(uint256,uint256,address,bytes), operate, SLOAD, inner, 4, 0x1
operate, SLOAD, operate, SSTORE, inner, 0x1, 0x0
operate, SSTORE, operate, SLOAD, inner, 0x0, 0x6494360300000000000bfebeab3e4f9711bb0000029363fb36ba3e42deefd13c
operate, SLOAD, operate, SLOAD, inner, 0x6494360300000000000bfebeab3e4f9711bb0000029363fb36ba3e42deefd13c, 0xe9cc0f7e550bd43bd2af2214563c47699f96479
operate, SLOAD, operate, SLOAD, inner, 0xe9cc0f7e550bd43bd2af2214563c47699f96479, 0xc02aaa39b223fe8d0a0e5c4f27ead9083c756cc2
operate, SLOAD, addr, 0xc02aaa39b223fe8d0a0e5c4f27ead9083c756cc2, inner, 0xc02aaa39b223fe8d0a0e5c4f27ead9083c756cc2, 4
addr, 0xf64e49c1d1d2b1cfa570b1da6481dc8dc95cd093, addr, 0xc02aaa39b223fe8d0a0e5c4f27ead9083c756cc2, CALL, 4, 5
addr, 0xc02aaa39b223fe8d0a0e5c4f27ead9083c756cc2, func, transfer(address,uint256), inner, 4, 2
func, transfer(address,uint256), operate, SLOAD, inner, 2, 0xbfebeab3e4f9711bb
operate, SLOAD, operate, SLOAD, inner, 0xbfebeab3e4f9711bb, 0xbfebeab3e4f9711bb
operate, SLOAD, operate, SSTORE, inner, 0xbfebeab3e4f9711bb, 0xbfc3e31224fe8c6a8
operate, SSTORE, operate, SLOAD, inner, 0xbfc3e31224fe8c6a8, 0x1
operate, SLOAD, operate, SSTORE, inner, 0x1, 0x2807a1bffae4b14
operate, SSTORE, event, log, inner, 0x2807a1bffae4b14, LOG3
event, LOG3, addr, 0xc02aaa39b223fe8d0a0e5c4f27ead9083c756cc2, innerEventToReturn, LOG3, 4
addr, 0xc02aaa39b223fe8d0a0e5c4f27ead9083c756cc2, addr, 0x5e7c5704e3d77d9f737940fefaac9bcae400b769, RETURN, 5, 4
addr, 0xf64e49c1d1d2b1cfa570b1da6481dc8dc95cd093, addr, 0x0e9cc0f7e550bd43bd2af2214563c47699f96479, STATICCALL, 4, 5
addr, 0x0e9cc0f7e550bd43bd2af2214563c47699f96479, func, balanceOf(address), inner, 4, 1
func, balanceOf(address), operate, SLOAD, inner, 1, 0x293ee0a0b139d74ac9ce40c
operate, SLOAD, addr, 0x0e9cc0f7e550bd43bd2af2214563c47699f96479, innerOperateToReturn, 0x293ee0a0b139d74ac9ce40c, 4
addr, 0xf9a001d5b2c7c5e45693b41fcf931b94e680cac4, addr, 0x5e7c5704e3d77d9f737940fefaac9bcae400b769, RETURN, 5, 4
