Type1, Node1, Type2, Node2, Edgetype, X1, X2
operate, SLOAD, operate, SSTORE, inner, 0x0, 0x84
operate, SSTORE, addr, 0x11950d141ecb863f01007add7d1a342041227b58, inner, 0x84, 1
addr, 0xf9a001d5b2c7c5e45693b41fcf931b94e680cac4, addr, 0x11950d141ecb863f01007add7d1a342041227b58, CALL, 1, 2
addr, 0x11950d141ecb863f01007add7d1a342041227b58, func, swap(address,bool,int256,uint160,bytes), inner, 1, 5
func, swap(address,bool,int256,uint160,bytes), operate, SLOAD, inner, 5, 0x10000b400b40043fcc20500000000000000000001986ed4ff7c2930b738a4
operate, SLOAD, operate, SLOAD, inner, 0x10000b400b40043fcc20500000000000000000001986ed4ff7c2930b738a4, 0x10000b400b40043fcc20500000000000000000001986ed4ff7c2930b738a4
operate, SLOAD, operate, SSTORE, inner, 0x10000b400b40043fcc20500000000000000000001986ed4ff7c2930b738a4, 0xb400b40043fcc20500000000000000000001986ed4ff7c2930b738a4
operate, SSTORE, operate, SLOAD, inner, 0xb400b40043fcc20500000000000000000001986ed4ff7c2930b738a4, 0x1081079b898498f7da76055
operate, SLOAD, operate, SLOAD, inner, 0x1081079b898498f7da76055, 0xb8f4a9406a6056caf9cb89d0626b
operate, SLOAD, operate, SLOAD, inner, 0xb8f4a9406a6056caf9cb89d0626b, 0x49fcf63923c98600b6e201ab2c1ff756b60d553c2d237d2e2fdfff9d6f67fede
operate, SLOAD, operate, SLOAD, inner, 0x49fcf63923c98600b6e201ab2c1ff756b60d553c2d237d2e2fdfff9d6f67fede, 0x1000005e80000000000000003f11333aa9a5efc8dfffef5250410a8649284bf
operate, SLOAD, operate, SLOAD, inner, 0x1000005e80000000000000003f11333aa9a5efc8dfffef5250410a8649284bf, 0xb400b40043fcc20500000000000000000001986ed4ff7c2930b738a4
operate, SLOAD, operate, SSTORE, inner, 0xb400b40043fcc20500000000000000000001986ed4ff7c2930b738a4, 0xb400b40043fcc20a00000000000000000001988b560d2d9f333013e4
operate, SSTORE, operate, SSTORE, inner, 0xb400b40043fcc20a00000000000000000001988b560d2d9f333013e4, 0xb8f4bf356a6592a0b749f748d513
operate, SSTORE, addr, 0x6982508145454ce325ddbe47a25d4ec3d2311933, inner, 0xb8f4bf356a6592a0b749f748d513, 2
addr, 0x11950d141ecb863f01007add7d1a342041227b58, addr, 0x6982508145454ce325ddbe47a25d4ec3d2311933, CALL, 2, 3
addr, 0x6982508145454ce325ddbe47a25d4ec3d2311933, func, transfer(address,uint256), inner, 2, 2
func, transfer(address,uint256), operate, SLOAD, inner, 2, 0x0
operate, SLOAD, operate, SLOAD, inner, 0x0, 0x0
operate, SLOAD, operate, SLOAD, inner, 0x0, 0xa43fe16908251ee70ef74718545e4fe6c5ccec9f
operate, SLOAD, operate, SLOAD, inner, 0xa43fe16908251ee70ef74718545e4fe6c5ccec9f, 0x0
operate, SLOAD, operate, SLOAD, inner, 0x0, 0x1ccc90f294ab6a4acd67431c6d
operate, SLOAD, operate, SSTORE, inner, 0x1ccc90f294ab6a4acd67431c6d, 0x1cc104b9275d7484910052d173
operate, SSTORE, operate, SLOAD, inner, 0x1cc104b9275d7484910052d173, 0x0
operate, SLOAD, operate, SSTORE, inner, 0x0, 0xb8c396d4df5c63c66f04afa
operate, SSTORE, event, log, inner, 0xb8c396d4df5c63c66f04afa, LOG3
event, LOG3, addr, 0x6982508145454ce325ddbe47a25d4ec3d2311933, innerEventToReturn, LOG3, 2
addr, 0x11950d141ecb863f01007add7d1a342041227b58, addr, 0xf9a001d5b2c7c5e45693b41fcf931b94e680cac4, RETURN, 3, 2
addr, 0x11950d141ecb863f01007add7d1a342041227b58, addr, 0xc02aaa39b223fe8d0a0e5c4f27ead9083c756cc2, STATICCALL, 2, 3
addr, 0xc02aaa39b223fe8d0a0e5c4f27ead9083c756cc2, func, balanceOf(address), inner, 2, 1
